SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
C-4935,O-09013,,CUSTOMER,,BR,0,
C-7125,O-09219,,CUSTOMER,,US,0,
C-7673,O-09225,,CUSTOMER,,CN,0,
C-0212,O-09298,,SUB-UK,,US,0,
C-3075,O-09314,ADM,CUSTOMER,,IN,0,
C-8571,O-09324,,CRTSY,,US,0,
,O-09383,,,,HU,0,
,O-09413,,,,CN,0,
C-5199,O-09417,,CUSTOMER,,CN,0,
,O-09422,,,,US,0,
C-8434,O-09430,,SUB-BEL,,FR,0,
C-0421,O-09460,,CUSTOMER,,HU,1,
C-3222,O-09479,,CUSTOMER,,ID,1,
C-7868,O-09498,,SUB-KOR,,CN,0,
C-1761,O-09504,,CUSTOMER,,CN,0,
C-5722,O-09550,HFT,CUSTOMER,,CN,1,
C-0097,O-09563,,SUB-CHI,,US,0,
,O-09572,,,,ID,0,
C-0574,O-09575,,DISTRIBUTOR,,DE,0,
C-2362,O-09603,,CUSTOMER,,US,0,
C-1832,O-09689,,CUSTOMER,,US,0,
C-6386,O-09892,,SUPPLIER,,CA,0,
C-8676,O-09895,,SUB-FRA,,FR,0,
C-6510,O-09945,,CUSTOMER,,US,0,
C-6386,O-09960,,SUPPLIER,,CN,0,
C-5396,O-10054,,CUSTOMER,,US,0,
C-1276,O-10083,,SUB-CHI,,US,0,
C-4864,O-10232,,CUSTOMER,,EG,0,
C-7723,O-10237,,CUSTOMER,,US,0,
C-9924,O-10299,,CUSTOMER,,ID,0,
C-7883,O-10314,,CUSTOMER,,US,0,
C-3433,O-10329,,CRTSY,,DE,0,
C-4165,O-10578,ADM,CRTSY,,US,0,
C-1276,O-10854,,SUB-CHI,,MX,0,
,O-10998,,,,FR,0,
